"PointID","OSEWellID","OSEWelltagID","HoleDepth","WellDepth","CasingDiameter","CasingDepth","CasingDescription","FormationZone","Meaning"
"NM-05873","","","","100","","","","110AVMB","Livestock"
"NM-26364","","","","48","","","","211GRRG","Livestock"
"NM-13578","","","","","","","","110AVMB","Domestic"
"NM-04193","","","146","136","","","","110AVMB","Irrigation"
"NM-00746","","","","84","","","","","Domestic"
"NM-17183","","","","","","","","110AVMB","Irrigation"
"NM-06677","","","","","","","","312RSLR","Unused"
"TB-0045","T-01296 POD2","","100","100","0.5","80","","050QUAL","Livestock"
"NM-11068","","","","","","","","121OGLL","Livestock"
"PC-131","X","","","","","","","112SNTFA","Shared domestic"
"DA-0104","","","","366","","","","","Livestock"
"NM-01886","","","334","334","","","","112SNTF","Unused"
"NM-09667","","","","773","","","","313GRBG","Unused"
"NM-09293","","","10","10","","","","","Livestock"
"NM-12492","","","","85","","","","121OGLL","Irrigation"
"NM-00915","","","","320","","","","121OGLL","Irrigation"
"NM-17567","","","","150","","","","231CHNL","Livestock"
"NM-04837","","","247","","","","","","Irrigation"
"NM-25396","","","","36","","","","","Irrigation"
"NM-04693","","","","400","","","","110AVMB","Livestock"
"NM-17038","","","","","","","","110AVMB","Livestock"
"NM-22108","","","16","16","","","","110AVMB","Observation"
"NM-11792","","","","","","","","110AVMB","Unused"
"EB-298","Exempt","","2495","2495","","2495","","121TSUQb","Observation"
"NM-17793","","","","137","","","","110AVMB","Irrigation"
"NM-05848","","","","","","","","","Irrigation"
"NM-14391","","","","485","","","","313ARTS","Irrigation"
"NM-23562","","","102","102","","","","321SGDC","Domestic"
"NM-06343","","","","104","","","","110AVMB","Unused"
"NM-22254","","","","38","","","","110AVMB","Irrigation"
"NM-06205","","","","260","","","","110AVMB","Irrigation"
"NM-18203","","","","315","","","","","Livestock"
"NM-21647","","","","33","","","","110AVMB","Unused"
"NM-27419","","","","272","","","","","Livestock"
"NM-18318","","","","157","","","","120DTIL","Livestock"
"NM-20182","","","","","","","","121OGLL","Livestock"
"NM-22333","","","71","71","","","","110AVMB","Unused"
"NM-12392","","","","386","","","","310GLOR","Unused"
"NM-08536","","","","","","","","110AVMB","Unused"
"NM-02024","","","","300","","","","110AVMB","Irrigation"
"NM-19732","","","","","","","","121OGLL","Unused"
"NM-12933","","","","68","","","","110AVMB","Domestic"
"NM-17837","","","","","","","","121OGLL","Irrigation"
"TO-0095","","","","","1.3333333730697632","","","112QTBF","Irrigation"
"NM-09431","","","245","245","","","","110AVMB","Unused"
"NM-22474","","","375","375","","","","","Domestic"
"NM-04882","","","230","230","","","","","Irrigation"
"NM-07472","","","","","","","","","Unused"
"NM-09927","","","","","","","","110AVMB","Domestic"
"NM-12356","","","","130","","","","121OGLL","Unused"
"NM-11890","","","","334","","","","110AVMB","Irrigation"
"NM-21818","","","80","","","","","110AVMB","Domestic"
"SM-0056","PN-00420?","","500","500","0.6700000166893005","","","300YESO","Public supply"
"NM-26649","","","","","","","","110AVMB","Livestock"
"NM-07756","","","","","","","","121OGLL","Unused"
"NM-01934","","","","","","","","","Livestock"
"SB-0416","X","","","750","","","","318BSVP","Commercial"
"NM-05965","","","","","","","","","Irrigation"
"NM-13694","","","","432","","","","313SADR","Irrigation"
"NM-16751","","","","","","","","","Livestock"
"NM-01629","RG-33897","","","","","","","000EXRV","Unused"
"NM-18005","","","","","","","","121OGLL","Irrigation"
"NM-26009","","","394","394","","","","211PCCF","Unused"
"NM-18157","","","","","","","","110AVMB","Irrigation"
"NM-16408","","","","","","","","110AVMB","Livestock"
"NM-23320","RG-63865","","275","275","","","","325MDER","Domestic"
"NM-03259","","","160","160","","","","110AVMB","Unused"
"NM-08597","","","","80","","","","121OGLL","Livestock"
"NM-15920","","","","","","","","210CRCS","Unused"
"NM-18574","","","","60","","","","121OGLL","Domestic"
"NM-23900","","","3284","3275","","","","313SADG","Unused"
"NM-09701","","","","","","","","","Livestock"
"RA-021","","","","","0.41999998688697815","","","","Domestic"
"NM-11754","","","","185","","","","110AVMB","Irrigation"
"NM-07519","","","","","","","","","Unused"
"NM-09247","","","310","","","","","210CRCS","Livestock"
"NM-05989","","","","350","","","","231CHNL","Livestock"
"NM-10315","","","","150","","","","121OGLL","Irrigation"
