"PointID","SiteType","Easting","Northing","PublicRelease"
"NM-05753","GW","243821","3571620","false"
"QY-0903","GW","636078","3862300","true"
"NM-18293","GW","637090","3803860","false"
"NM-21744","GW","347402","3880360","false"
"NM-07376","GW","222161","3604040","false"
"NM-23816","GW","638443","3916440","false"
"NM-16501","GW","603494","3771390","false"
"NM-17996","GW","365015","3799020","false"
"NM-14615","GW","548514","3711230","false"
"AR-0097","GW","237753","4085610","true"
"NM-04547","GW","219243","3553530","false"
"NM-19170","GW","571264","3819700","false"
"NM-01659","GW","303583","4041680","false"
"DE-0196","GW","611764","3599848","false"
"QU-019","GW","445538","4067612","true"
"NM-10639","GW","554190","3645810","false"
"NM-24502","GW","405778","3938670","false"
"CX-0165","GW","516820","4021960","true"
"NM-00778","GW","439061","3703350","false"
"EB-156","GW","400727","3949653","true"
"NM-05163","GW","180512","3565120","false"
"NM-14574","GW","486331","3709360","false"
"NM-23323","GW","376858","3900220","false"
"AB-0176","GW","360897","3868260","true"
"HS-039","GW","286947","3666273","true"
"NM-23789","GW","644310","3915700","false"
"BW-0362","GW","408422","3631000","true"
"NM-03118","GW","573820","3809330","false"
"NM-24613","GW","461507","3940840","false"
"NM-19721","GW","546117","3831150","false"
"TO-0093","GW","403431","3826150","true"
"NM-14250","GW","672623","3701370","false"
"NM-00017","GW","375032","3541580","false"
"DE-0246","GW","670338","3570377","false"
"NM-02107","GW","300490","3560880","false"
"NM-26631","GW","193626","4076480","false"
"NM-03995","GW","258563","3528230","false"
"NM-06213","GW","680591","3578830","false"
"SD-0273","GW","382210","3889610","true"
"NM-04363","GW","241304","3547890","false"
"NM-06394","GW","572003","3581100","false"
"NM-12646","GW","627716","3678930","false"
"NM-17614","GW","631599","3790960","false"
"TO-0095","GW","401638","3826550","true"
"UC-0089","GW","627202","4054739","true"
"NM-11740","GW","556452","3663380","false"
"NM-16773","GW","677165","3779170","false"
"NM-24395","GW","478251","3935860","false"
"NM-13223","GW","544702","3687740","false"
"AB-0187","GW","326181","3822470","true"
"NM-11364","GW","612013","3657880","false"
"NM-10780","GW","303315","3649410","false"
"NM-18881","GW","664824","3814910","false"
"SA-0427","GW","201470","3758590","true"
"WL-0139","GW","415692","3957846","false"
"NM-08424","GW","233004","3620790","false"
"NM-27647","GW","674481","3795330","false"
"NM-04107","GW","140204","3539810","false"
"NM-19906","GW","604399","3834670","false"
"NM-26191","GW","473698","4028940","false"
"NM-14430","GW","675505","3706290","false"
"NM-22457","GW","623191","3887410","false"
"NM-02116","GW","265550","3561932","false"
"NM-01782","GW","116665","3525450","false"
"NM-19557","GW","591600","3828750","false"
"NM-14770","GW","547242","3718120","false"
"NM-17533","GW","575798","3788870","false"
"NM-17196","GW","557795","3783630","false"
"NM-21001","GW","642950","3859320","false"
"NM-21203","GW","382171","3867340","false"
"NM-21428","GW","377750","3872570","false"
"NM-20948","GW","665668","3858810","false"
"SM-0125","GW","478283","3639651","true"
"BC-0075","GW","375096","3888700","true"
"DA-0130","GW","289963","3548030","true"
"NM-02747","GW","401131","3661830","false"
"NM-25365","GW","255442","3973690","false"
"NM-09242","GW","284538","3630060","false"
"NM-18895","GW","643873","3814620","false"
"NM-06507","GW","573555","3583330","false"
"JM-024","GW","295184","3643233","true"
"NM-20843","GW","608541","3854750","false"
"NM-16864","GW","663932","3779790","false"
"SD-0166","GW","375455","3883190","true"
"MI-0243","GW","495957","3950305","true"
"ED-0128","GW","575225","3594870","true"
"NM-09355","GW","681553","3630700","false"
"SM-3011","R","469480","3626604","true"
"BW-0146","GW","412466","3692300","true"
"NM-21889","GW","348816","3881750","false"
"NM-25277","GW","581315","3965660","false"
"NM-23263","GW","392086","3898860","false"
"NM-04475","GW","675389","3549930","false"
"NM-06742","GW","545445","3587750","false"
"NM-14596","GW","643308","3711590","false"
"NM-15073","GW","145530","3736210","false"
"NM-21019","GW","648323","3860020","false"
"NM-21637","GW","355073","3878610","false"
"SR-0014","SP","136998","3728610","true"
"TO-0477","GW","469061","3879010","true"
"TO-0352","GW","400354","3864080","true"
"HS-014","GW","289772","3667572","true"
"BW-0829","GW","193456","3748740","true"
"NM-01116","GW","650727","3857670","false"
"NM-03725","GW","170279","3494630","false"
"NM-02947","GW","665412","3751580","false"
"QY-0461","GW","671286","3925770","true"
"NM-06257","GW","155654","3584050","false"
"NM-05636","GW","245883","3570300","false"
"NM-01389","GW","650784","3929630","false"
"NM-20559","GW","587726","3847660","false"
"NM-01208","GW","341192","3882930","false"
"NM-19854","GW","670046","3834940","false"
"WL-0015","GW","507211","3961445","true"
"NM-19690","GW","651522","3832310","false"
"NM-24095","GW","393112","3927720","false"
"SO-0123","SP","365428","3814070","true"
"NM-05217","GW","168089","3566320","false"
"MI-0262","GW","565615","3951174","true"
"NM-07873","GW","676420","3610580","false"
"NM-27365","GW","635569","3621860","false"
"QY-0511","GW","669080","3941080","true"
"NM-26731","GW","621374","4086160","false"
"NM-22975","GW","348366","3894370","false"
